word,definition
abbacy,"The word ""abbacy"" refers to the office or jurisdiction of an abbot, who is the head of a monastery."
abductor,"The word ""abductor"" refers to a person or thing that takes someone away by force or deceit."
abasement,"The word ""abasement"" refers to the action or effect of lowering someone in rank, office, prestige, or esteem."
abashment,"The word ""abashment"" refers to a feeling of embarrassment or humiliation."
abbreviator,"The word ""abbreviator"" refers to a person or thing that shortens or abridges something, particularly in writing."
abatement,"The word ""abatement"" refers to the reduction, decrease, or cessation of something, often used in legal, environmental, or economic contexts."
abdication,"The word ""abdication"" refers to the formal relinquishment of power or responsibility, particularly by a sovereign, such as a king or queen, who gives up their throne or position of authority."
abandonment,"The word ""abandonment"" refers to the act of leaving someone or something behind or the state of being left behind."
aberrance,"The word ""aberrance"" refers to a deviation from the expected or usual course, often implying a departure from what is considered normal or typical."
abatis,"The word ""abatis"" refers to a defensive obstacle used in military contexts, consisting of a barrier made from felled trees or branches, typically with the treetops pointed outward towards the enemy."
aberration,"The word ""aberration"" refers to a departure from what is normal, expected, or usual, typically in a negative sense."
abjurer,"The word ""abjurer"" refers to a person who formally renounces, rejects, or disavows a belief, cause, or commitment."
abhorrence,"The word ""abhorrence"" refers to a feeling of strong disgust or repulsion towards something."
abettal,"The word ""abettal"" refers to the act of abetting, which means to assist, support, or encourage someone in the commission of a crime or wrongdoing."
abidance,"The word ""abidance"" refers to the act of abiding or complying with something, such as a rule, law, or standard."
ablution,"The word ""ablution"" refers to the act of washing or cleansing, particularly in a religious or ceremonial context."
aalii,"The word ""aalii"" refers to a type of shrub or small tree, specifically known as ""Pelea"" species, found in Hawaii and other tropical regions."
abeyance,"The word ""abeyance"" refers to a state of temporary inactivity, suspension, or cessation."
Abies,"The word ""Abies"" refers to a genus of trees commonly known as firs."
abettor,"The word ""abettor"" refers to a person who encourages, supports, or assists someone, particularly in the commission of a crime or wrongdoing."
abnegation,"The word ""abnegation"" refers to the act of renouncing or rejecting something, often in a self-denying manner."
aborigine,"The word ""aborigine"" refers to a member of the indigenous people of Australia."
abnormality,"The word ""abnormality"" refers to a condition, occurrence, or trait that deviates from what is typical or expected."
abortion,"The word ""abortion"" refers to the medical or surgical termination of a pregnancy before the fetus can viably survive outside the uterus."
abjection,"The word ""abjection"" refers to a state of being cast off or rejected, often accompanied by feelings of humiliation, degradation, or distress."
abelmosk,"The word ""abelmosk"" refers to the hibiscus plant, particularly the species Hibiscus abelmoschus, which is also known as musk mallow."
abrader,"The word ""abrader"" refers to a tool or material that is used to wear away or remove layers from a surface through friction or scraping."
abradant,"The word ""abradant"" refers to a material or substance that is used for abrasion, meaning it is capable of wearing away or rubbing off another material through friction."
abdicator,"The word ""abdicator"" refers to a person who abdicates, meaning someone who formally renounces or relinquishes a position of power, authority, or responsibility, particularly in a monarchy or leadership role."
abridger,"The word ""abridger"" refers to a person or a tool that abridges, meaning they shorten or condense a text while preserving its essential meaning."
absconder,"The word ""absconder"" refers to a person who leaves hurriedly and secretly, typically to avoid being caught or to evade the law."
abscission,"The word ""abscission"" refers to the process of cutting off or separating."
absolution,"The word ""absolution"" refers to an official pardon or release from guilt, obligation, or punishment."
absence,"The word ""absence"" refers to the state of being away or not present in a particular place or situation."
absolver,"The word ""absolver"" refers to a person or entity that frees someone from blame, guilt, or responsibility."
abridgment,"The word ""abridgment"" refers to the act of shortening or condensing a written work, such as a book or text, while maintaining its essential content and meaning."
abomination,"The word ""abomination"" refers to something that is greatly disliked or regarded with disgust or hatred."
abreaction,"The word ""abreaction"" refers to the emotional release or expression of feelings associated with a traumatic experience, often occurring in therapeutic settings."
abruption,"The word ""abruption"" refers to a sudden or unexpected breaking off or separation."
abstrusity,"The word ""abstrusity"" refers to the quality of being difficult to understand; it describes concepts, ideas, or materials that are obscure, hard to grasp, or esoteric."
abstractness,"The word ""abstractness"" refers to the quality or state of being abstract, which means it is not concrete or tangible."
abundance,"The word ""abundance"" refers to a very large quantity of something; it signifies a plentiful or ample supply."
absurdity,"The word ""absurdity"" refers to the quality or state of being absurd, which is characterized by a lack of reason, sense, or logic."
absurdness,"The word ""absurdness"" refers to the quality or state of being absurd, which means something that is wildly unreasonable, illogical, or inappropriate."
absorber,"The word ""absorber"" refers to a device or substance that takes in or absorbs energy, sound, or another form of material."
abutment,"The word ""abutment"" refers to a structure that serves as a support for an arch or a bridge, typically at the ends where it meets the ground."
academe,"The word ""academe"" refers to the academic world or environment, particularly in relation to higher education and scholarly activities."
acantha,"The word ""acantha"" refers to a thorn or spine, particularly in botanical contexts."
abyss,"The word ""abyss"" refers to a deep or seemingly bottomless chasm or gulf."
acceptableness,"The word ""acceptableness"" refers to the quality or state of being acceptable; it denotes the extent to which something is deemed satisfactory, suitable, or allowable."
accentor,"The word ""accentor"" refers to a type of small passerine bird belonging to the family Prunellidae, which is commonly found in the northern hemisphere."
accessibility,"The word ""accessibility"" refers to the quality of being easy to obtain, use, or reach."
acceptance,"The word ""acceptance"" refers to the act of receiving or agreeing to something offered, whether it's an idea, proposal, or situation."
accompaniment,"The word ""accompaniment"" refers to something that is added to another thing to enhance or complement it."
accomplice,"The word ""accomplice"" refers to a person who helps another in committing a crime or wrongdoing."
acanthus,"The word ""acanthus"" refers to a genus of flowering plants in the family Acanthaceae, commonly known for their distinctive spiny leaves and clusters of tubular flowers."
acclivity,"The word ""acclivity"" refers to an upward slope or incline."
accouchement,"The word ""accouchement"" refers to the act of giving birth or the process of childbirth."
accordion,"The word ""accordion"" refers to a musical instrument that consists of a rectangular, bellows-like body with a keyboard on one side and buttons or a keyboard on the other."
access,"The word ""access"" refers to the ability or right to enter, approach, or use something."
accomplishment,"The word ""accomplishment"" refers to the act of achieving or completing something successfully, particularly something that requires skill, effort, or perseverance."
accessory,"The word ""accessory"" refers to something that is additional, supplementary, or not essential but enhances or completes something else."
acclimation,"The word ""acclimation"" refers to the process of adjusting or adapting to a new environment, climate, or set of conditions."
accolade,"The word ""accolade"" refers to an expression of praise or admiration."
accusal,"The word ""accusal"" refers to the act of accusing someone of a wrongdoing or crime."
acervulus,"The word ""acervulus"" refers to a small, often rounded, mass or heap."
acceptor,"The word ""acceptor"" refers to a person or thing that receives or takes something."
accuser,"The word ""accuser"" refers to a person who claims that someone has done something wrong or illegal."
achievement,"The word ""achievement"" refers to the act of successfully accomplishing or reaching a goal, task, or objective, especially through skill, effort, or courage."
accountantship,"The word ""accountantship"" refers to the position or profession of an accountant."
accouterment,"The word ""accouterment"" refers to additional items of clothing or equipment that are worn or carried, particularly by a soldier or someone in a specific profession."
achiever,"The word ""achiever"" refers to a person who successfully accomplishes goals, attains significant milestones, or realizes ambitions."
acme,"The word ""acme"" refers to the highest point or peak of something; it represents the pinnacle of achievement or development."
acquirement,"The word ""acquirement"" refers to the act of gaining, obtaining, or achieving something, particularly knowledge, skills, or possessions."
acquaintance,"The word ""acquaintance"" refers to a person whom one knows slightly, but who is not a close friend."
Acorus,"The word ""Acorus"" refers to a genus of plants in the family Acoraceae, commonly known as sweet flag."
acicula,"The word ""acicula"" refers to a small, needle-like structure or a needle."
acinus,"The word ""acinus"" refers to a small, grape-like cluster of cells or secretory glands in various organs, particularly in the context of anatomy and histology."
acquiescence,"The word ""acquiescence"" refers to the act of accepting or agreeing to something, often reluctantly or without protest."
acquirer,"The word ""acquirer"" refers to a person or entity that obtains or takes possession of something."
acrimony,"The word ""acrimony"" refers to a sharpness or bitterness of feeling, especially in speech or behavior."
acridity,"The word ""acridity"" refers to the quality of being sharp, pungent, or bitter, particularly in relation to taste or smell."
acreage,"The word ""acreage"" refers to an area of land measured in acres."
acquittal,"The word ""acquittal"" refers to the legal judgment that officially clears someone of criminal charges, indicating that they are not guilty of the offense for which they were accused."
acridness,"The word ""acridness"" refers to the quality of being acrid, which means having a strong, sharp, and often unpleasant taste or smell."
acquittance,"The word ""acquittance"" refers to a document or formal acknowledgment that a debt has been paid or that an obligation has been fulfilled."
activation,"The word ""activation"" refers to the process of making something active or bringing it into a state of operation."
activeness,"The word ""activeness"" refers to the quality or state of being active."
aculeus,"The word ""aculeus"" refers to a sharp, pointed structure or part, often found in biology."
acuity,"The word ""acuity"" refers to the sharpness or keenness of perception, thought, or vision."
actor,"The word ""actor"" refers to a person who performs in plays, movies, television shows, or other theatrical productions."
adapter,"The word ""adapter"" refers to a device or component that enables compatibility between two different systems or items."
Adad,"The word ""Adad"" refers to a deity from ancient Mesopotamian mythology, specifically associated with storms, rain, and fertility."
adductor,"The word ""adductor"" refers to a muscle that draws a body part toward the midline of the body or toward another part."
adherence,"The word ""adherence"" refers to the act of sticking to or following a particular rule, guideline, or set of beliefs."
admirability,"The word ""admirability"" refers to the quality or state of being admirable; it denotes the ability to inspire admiration or respect due to one's qualities, actions, or characteristics."
adjuration,"The word ""adjuration"" refers to a solemn or earnest appeal or request, often invoking a sense of urgency or seriousness."
admiration,"The word ""admiration"" refers to a feeling of great respect and approval for someone or something."
adjutant,"The word ""adjutant"" refers to a staff officer in the military who assists a commanding officer by handling administrative tasks and organization."
admirer,"The word ""admirer"" refers to a person who has a fondness or admiration for someone or something."
adjunction,"The word ""adjunction"" refers to the action or process of joining or adding something to something else."
admonisher,"The word ""admonisher"" refers to a person who warns or reprimands others gently but seriously."
admittance,"The word ""admittance"" refers to the act of allowing someone to enter a place or the permission granted to enter."
adjustment,"The word ""adjustment"" refers to the process of changing or modifying something in order to achieve a desired fit, level, or condition."
adroitness,"The word ""adroitness"" refers to the quality of being skillful, nimble, or dexterous in handling tasks or situations."
adorer,"The word ""adorer"" refers to a person who shows deep love, affection, or admiration for someone or something."
adjuvant,"The word ""adjuvant"" refers to a substance that enhances the effectiveness of a drug or vaccine."
adoption,"The word ""adoption"" refers to the legal process through which a person or couple becomes the legal parent(s) of a child who is not biologically their own."
Adonis,"The word ""Adonis"" refers to a figure from Greek mythology, often associated with beauty and desire."
adulterator,"The word ""adulterator"" refers to a person or substance that adulterates."
adobe,"The word ""adobe"" refers to a type of building material made from earth and organic materials, particularly clay, sand, and straw."
advantage,"The word ""advantage"" refers to a condition or circumstance that puts one in a favorable or superior position."
adulterer,"The word ""adulterer"" refers to a person who engages in adultery, which is the act of being unfaithful to a spouse or committed partner by having a sexual relationship with someone else."
adopter,"The word ""adopter"" refers to a person or entity that adopts something, typically a practice, idea, method, or animal."
Advent,"The word ""Advent"" refers to the period of four weeks leading up to Christmas in the Christian liturgical calendar."
advertence,"The word ""advertence"" refers to the act of paying attention or being mindful of something."
adumbration,"The word ""adumbration"" refers to the act of shading or outlining something in a way that suggests or hints at its form or features without fully revealing or detailing it."
